N,2179,3,10,17
35222,3,2
52318,3,4
23525,3,4
31079,3,2
72854,3,7
22723,3,10
76645,3,3
39639,3,8
81505,3,2
98006,3,2
56355,3,5
95939,3,6
48194,3,10
78503,3,8
72403,3,4
56415,3,1
29500,3,1
N,641,3,10,13
87765,3,10
92895,3,5
81595,3,10
86503,3,1
36583,3,8
57007,3,8
56499,3,5
56935,3,10
53749,3,4
38375,3,10
72869,3,9
20149,3,1
58663,3,7
N,1247,3,10,20
9637,3,9
22223,3,7
16103,3,6
98887,3,4
21042,3,2
20130,3,10
39475,3,10
16099,3,2
16068,3,7
22503,3,9
75495,3,5
24163,3,8
83677,3,10
63207,3,3
4113,3,6
89283,3,4
81623,3,5
10311,3,3
81239,3,3
23719,3,9
N,331,3,8,10
28327,3,1
93667,3,10
40581,3,1
97829,3,8
37919,3,6
83687,3,9
96565,3,10
3871,3,1
57047,3,8
70239,3,9
N,1275,3,10,14
23550,3,8
36041,3,2
39526,3,3
36527,3,10
46302,3,8
16083,3,4
28350,3,8
54661,3,6
65161,3,3
81551,3,1
79587,3,2
1093,3,8
77023,3,9
19663,3,7
N,1987,3,10,5
80608,3,8
48230,3,7
71125,3,1
62693,3,10
80866,3,1
N,197,3,8,9
7791,3,4
582,3,2
56404,3,4
71571,3,6
24155,3,5
97379,3,8
28127,3,7
44630,3,2
30739,3,6
N,299,3,9,19
30438,3,10
97431,3,7
81119,3,3
63541,3,1
56791,3,3
40278,3,5
10843,3,9
30949,3,6
71399,3,5
20103,3,10
13975,3,9
80583,3,2
22934,3,4
32307,3,10
89807,3,6
22749,3,4
88806,3,6
7923,3,10
6151,3,6
N,1231,3,10,7
85399,3,1
68190,3,10
18769,3,5
29862,3,8
64996,3,3
48605,3,3
58983,3,5
N,755,3,8,9
40615,3,8
28867,3,3
89830,3,10
27303,3,5
80487,3,6
2119,3,7
32481,3,1
68244,3,9
4135,3,9
N,2819,3,10,13
24127,3,10
32386,3,4
6069,3,8
20193,3,9
26151,3,4
16021,3,7
31451,3,10
52957,3,9
6206,3,1
32073,3,9
40151,3,9
56405,3,2
65190,3,6
N,2207,3,8,5
39839,3,6
5571,3,9
95970,3,3
23907,3,3
40571,3,4
N,2302,3,8,20
80100,3,5
1331,3,9
36199,3,8
40615,3,8
98014,3,6
76486,3,9
78298,3,3
64221,3,6
27741,3,3
38631,3,3
66791,3,8
47846,3,2
46534,3,1
39906,3,7
71317,3,2
97700,3,2
68931,3,9
68311,3,7
40676,3,6
24211,3,6
N,1760,3,10,7
31455,3,9
48613,3,3
56407,3,7
15910,3,3
97986,3,8
29901,3,2
11444,3,3
N,311,3,10,20
73300,3,4
41431,3,2
4158,3,5
38527,3,2
68327,3,5
55847,3,3
91859,3,7
15719,3,4
90519,3,7
19007,3,9
48741,3,4
97975,3,7
48711,3,3
65251,3,4
31974,10,10
96350,3,9
47775,3,2
38490,3,10
55515,3,1
